AEROPUERTO_DE_PROCEDENCIA,Mes_Año,Pasajeros,Isla,Mes,Año,MesNum,Fecha
Italia,septiembre 2019,8471.0,Fuerteventura,septiembre,2019,9,2019-09-01
Países Nórdicos,septiembre 2019,2089.0,Fuerteventura,septiembre,2019,9,2019-09-01
Suecia,septiembre 2019,662.0,Fuerteventura,septiembre,2019,9,2019-09-01
Noruega,septiembre 2019,0.0,Fuerteventura,septiembre,2019,9,2019-09-01
Dinamarca,septiembre 2019,1427.0,Fuerteventura,septiembre,2019,9,2019-09-01
Finlandia,septiembre 2019,0.0,Fuerteventura,septiembre,2019,9,2019-09-01
Suiza,septiembre 2019,5323.0,Fuerteventura,septiembre,2019,9,2019-09-01
Austria,septiembre 2019,834.0,Fuerteventura,septiembre,2019,9,2019-09-01
Federación Rusa,septiembre 2019,0.0,Fuerteventura,septiembre,2019,9,2019-09-01
Republica Checa,septiembre 2019,1343.0,Fuerteventura,septiembre,2019,9,2019-09-01
Polonia,septiembre 2019,7829.0,Fuerteventura,septiembre,2019,9,2019-09-01
Portugal,septiembre 2019,651.0,Fuerteventura,septiembre,2019,9,2019-09-01
Marruecos,septiembre 2019,0.0,Fuerteventura,septiembre,2019,9,2019-09-01
Luxemburgo,septiembre 2019,151.0,Fuerteventura,septiembre,2019,9,2019-09-01
Islandia,septiembre 2019,0.0,Fuerteventura,septiembre,2019,9,2019-09-01
Hungría,septiembre 2019,0.0,Fuerteventura,septiembre,2019,9,2019-09-01
Venezuela,septiembre 2019,0.0,Fuerteventura,septiembre,2019,9,2019-09-01
Rumanía,septiembre 2019,0.0,Fuerteventura,septiembre,2019,9,2019-09-01
Estonia,septiembre 2019,0.0,Fuerteventura,septiembre,2019,9,2019-09-01
Letonia,septiembre 2019,0.0,Fuerteventura,septiembre,2019,9,2019-09-01
Lituania,septiembre 2019,0.0,Fuerteventura,septiembre,2019,9,2019-09-01
Ucrania,septiembre 2019,0.0,Fuerteventura,septiembre,2019,9,2019-09-01
Israel,septiembre 2019,0.0,Fuerteventura,septiembre,2019,9,2019-09-01
USA,septiembre 2019,0.0,Fuerteventura,septiembre,2019,9,2019-09-01
Otros países,septiembre 2019,393.0,Fuerteventura,septiembre,2019,9,2019-09-01
Total aerop. Extranjeros,septiembre 2019,148962.0,Fuerteventura,septiembre,2019,9,2019-09-01
